[2026-05-26 22:41:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:41:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:41:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:41:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:41:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:28] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:28] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:38] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:38] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:48] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:48] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:42:58] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:42:58] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:08] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:08] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:18] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:18] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:43:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:43:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:44:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:44:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:45:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:45:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:46:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:46:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:47:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:47:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:48:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:48:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:49:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:49:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:50:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:50:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:51:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:51:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:52:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:52:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:53:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:53:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:54:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:54:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:19] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:19] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:29] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:29] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:39] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:39] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:49] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:49] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:55:59] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:55:59] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:56:09] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:56:09] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:56:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:56:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:56:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:56:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:56:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:56:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:56:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:56:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:57:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:57:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:58:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:58:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 22:59:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 22:59:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:00:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:00:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:01:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:01:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:20] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:30] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:30] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:40] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:40] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:02:50] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:02:50] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:03:00] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:03:00] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:03:10] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:03:10] [WARN] ⚠️  Connectivity issue
[2026-05-26 23:03:20] [INFO] ✅ Tunnel ESTABLISHED
[2026-05-26 23:03:20] [WARN] ⚠️  Connectivity issue
